flight_number,origin,destination,flight_type
AD 7175,,,International
AD 7175,,,International
AD 7298,,,International
AD 7298,,,International
AD 7304,,,International
AD 7304,,,International
AD 7314,,,International
AD 7314,,,International
AD 7327,,,International
AD 7327,,,International
AD 7335,,,International
AD 7335,,,International
AD 7460,,,International
AD 7460,,,International
AF 1180,,,International
AF 1180,,,International
AF 1181,,,International
AF 1181,,,International
AF 1280,,,International
AF 1280,,,International
AF 1281,,,International
AF 1281,,,International
AF 1380,,,International
AF 1380,,,International
AF 1581,,,International
AF 1581,,,International
AF 1780,,,International
AF 1780,,,International
AF 1781,,,International
AF 1781,,,International
AF 3553,,,International
AF 3553,,,International
AF 3554,,,International
AF 3554,,,International
AF 3583,,,International
AF 3583,,,International
AF 3586,,,International
AF 3586,,,International
AF 3600,,,International
AF 3600,,,International
AF 3603,,,International
AF 3603,,,International
AF 3624,,,International
AF 3624,,,International
AF 3666,,,International
AF 3666,,,International
AF 3677,,,International
AF 3678,,,International
AF 3678,,,International
AF 4832,,,International
AF 4837,,,International
AF 6754,,,International
AF 6754,,,International
AF 6756,,,International
AF 6758,,,International
AF 6758,,,International
AF 9092,,,International
AF 9092,,,International
AF 9094,,,International
AF 9094,,,International
AF 9301,,,International
AF 9301,,,International
AF 9645,,,International
AF 9645,,,International
AF 9649,,,International
AF 9649,,,International
AF 9650,,,International
AF 9650,,,International
AF 9651,,,International
AF 9651,,,International
AF 9652,,,International
AF 9652,,,International
AF 9653,,,International
AF 9653,,,International
AF 9654,,,International
AF 9654,,,International
AF 9655,,,International
AF 9655,,,International
AF 9656,,,International
AF 9656,,,International
AF 9658,,,International
AF 9658,,,International
AF 9659,,,International
AF 9660,,,International
AF 9663,,,International
AF 9888,,,International
AF 9888,,,International
AF 9890,,,International
AF 9890,,,International
AF 9891,,,International
AF 9891,,,International
AF 9892,,,International
AF 9892,,,International
AF 9894,,,International
AF 9894,,,International
AF 9895,,,International
AF 9895,,,International
AF 9902,,,International
AF 9902,,,International
AF 9904,,,International
AF 9904,,,International
AF 9905,,,International
AF 9905,,,International
AF 9908,,,International
AF 9908,,,International
AF 9909,,,International
AF 9916,,,International
AF 9916,,,International
AF 9917,,,International
AF 9917,,,International
AF 9923,,,International
AF 9923,,,International
AF 9925,,,International
AF 9925,,,International
AF 9926,,,International
AF 9926,,,International
AH 2054,,,International
AH 2054,,,International
AH 2055,,,International
AH 2055,,,International
AH 4480,,,International
AH 470,,,International
AH 470,,,International
AH 471,,,International
AI 111,,,International
AI 111,,,International
AI 112,,,International
AI 112,,,International
AI 128,,,International
AI 128,,,International
AI 129,,,International
AI 130,,,International
AI 130,,,International
AI 131,,,International
AI 131,,,International
AI 132,,,International
AI 132,,,International
AI 133,,,International
AI 133,,,International
AI 162,,,International
AI 2015,,,International
AI 2015,,,International
AI 2016,,,International
AI 2016,,,International
AI 2017,,,International
AI 2017,,,International
AI 2018,,,International
AI 2018,,,International
AI 2245,,,International
AI 2245,,,International
AI 2246,,,International
AI 2246,,,International
AI 2251,,,International
AI 2251,,,International
AI 2252,,,International
AI 2252,,,International
AI 2255,,,International
AI 2255,,,International
AI 2256,,,International
AI 2256,,,International
AI 6301,,,International
AI 6301,,,International
AI 6302,,,International
AI 6302,,,International
AI 6304,,,International
AI 6304,,,International
AI 6408,,,International
AI 6411,,,International
AI 6413,,,International
AI 6414,,,International
